Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
JINDALPHOT,EQ,19.8,20.5,20.5,17.9,19.1,18.95,18.52,15706,29083409999.999996,87,5310,0.3381
JINDALPHOT,EQ,18.95,18.5,19.55,18.4,19.5,19.45,19.22,3212,6172785000.0,45,2174,0.6768000000000001
JINDALPHOT,EQ,19.45,19.2,19.9,18.45,18.95,18.85,18.56,1238,2297385000.0,31,1046,0.8449
JINDALPHOT,EQ,18.85,19.5,20.0,18.65,19.0,18.9,19.04,730,1389840000.0,31,529,0.7247
JINDALPHOT,EQ,18.9,19.0,20.5,18.55,19.75,19.7,19.23,4070,7825810000.000001,56,3101,0.7619
JINDALPHOT,EQ,19.7,19.25,19.9,19.05,19.9,19.35,19.41,1008,1956780000.0,24,818,0.8115000000000001
JINDALPHOT,EQ,19.35,19.0,20.65,19.0,20.4,19.9,19.59,1686,3302705000.0000005,30,1408,0.8351000000000001
JINDALPHOT,EQ,19.9,19.9,19.9,18.7,19.5,19.1,19.45,7520,14624490000.0,58,3533,0.4698
JINDALPHOT,EQ,19.1,18.5,19.45,18.5,19.45,19.0,19.18,2357,4520230000.0,28,1437,0.6097
JINDALPHOT,EQ,19.0,19.5,19.5,18.55,19.1,19.25,19.2,3694,7093350000.0,28,2569,0.6955
JINDALPHOT,EQ,19.25,19.25,19.5,19.0,19.5,19.5,19.4,3372,6540350000.0,40,2315,0.6865000000000001
JINDALPHOT,EQ,19.5,19.25,19.5,18.45,19.35,19.35,19.09,512,977345000.0000001,31,390,0.7617
JINDALPHOT,EQ,19.35,19.95,19.95,18.6,19.3,19.15,19.2,3865,7418939999.999999,40,1362,0.35240000000000005
JINDALPHOT,EQ,19.15,19.0,19.5,18.7,19.45,19.45,19.09,3711,7082505000.0,37,1653,0.4454
JINDALPHOT,EQ,19.45,19.05,20.15,18.3,19.05,19.25,19.63,1958,3844069999.9999995,57,1685,0.8606
JINDALPHOT,EQ,19.25,19.0,19.9,18.15,19.0,19.15,19.22,3309,6360065000.0,30,2593,0.7836
JINDALPHOT,EQ,19.15,18.2,19.9,18.2,19.15,19.15,19.42,1592,3091705000.0,34,1055,0.6627
JINDALPHOT,EQ,19.15,19.75,19.75,18.35,18.6,18.7,18.81,3222,6059320000.0,37,2374,0.7368000000000001
JINDALPHOT,EQ,18.7,18.6,19.5,17.25,19.1,19.05,18.6,2300,4278630000.0000005,50,1805,0.7848
JINDALPHOT,EQ,19.05,18.5,18.95,17.5,18.5,18.5,18.24,1198,2185505000.0,35,745,0.6219
JINDALPHOT,EQ,18.5,18.15,18.9,17.75,18.6,18.6,17.98,1566,2815010000.0,48,1459,0.9317000000000001
JINDALPHOT,EQ,18.6,18.6,18.6,17.75,18.35,18.35,18.22,263,479239999.99999994,18,256,0.9734
JINDALPHOT,EQ,18.35,18.25,18.6,17.0,17.85,17.75,17.69,1387,2453145000.0,47,1083,0.7808
JINDALPHOT,EQ,17.75,17.35,18.8,16.05,18.3,17.8,17.38,4576,7953680000.0,88,2443,0.5336
JINDALPHOT,EQ,17.8,17.75,17.75,16.6,16.8,16.8,16.8,522,877140000.0,25,460,0.8812000000000001
JINDALPHOT,EQ,16.8,17.45,17.45,14.65,15.5,15.15,15.44,4652,7182089999.999999,80,3331,0.716
JINDALPHOT,EQ,15.15,17.5,17.75,15.5,16.05,16.05,16.25,1497,2432630000.0,62,807,0.5391
JINDALPHOT,EQ,16.05,16.45,19.25,15.75,19.25,19.25,18.77,26178,49127995000.0,220,12421,0.47450000000000003
JINDALPHOT,EQ,19.25,21.2,23.1,20.0,23.1,23.1,22.25,147712,328675765000.0,1197,41168,0.2787
JINDALPHOT,EQ,23.1,24.0,27.7,23.9,27.7,27.7,26.86,234817,630621965000.0,2064,64658,0.2754
JINDALPHOT,EQ,27.7,28.7,30.45,28.4,30.45,30.45,30.07,58842,176944955000.0,302,33453,0.5685
JINDALPHOT,EQ,30.45,32.8,33.45,30.7,33.45,33.45,32.67,147750,482702375000.0,949,37728,0.2554
JINDALPHOT,EQ,33.45,36.7,36.75,30.95,35.9,36.15,35.78,372627,1333234250000.0,3124,94980,0.2549
JINDALPHOT,EQ,12.6,13.0,13.85,11.5,13.85,13.7,12.9,9145,11793290000.0,79,5246,0.5736
JINDALPHOT,EQ,13.7,13.45,14.8,13.1,13.5,13.4,13.45,1821,2448440000.0,37,1614,0.8863
JINDALPHOT,EQ,13.4,14.0,14.0,13.45,13.6,13.6,13.64,1732,2362745000.0,24,1462,0.8441
JINDALPHOT,EQ,13.6,14.85,14.9,13.5,14.0,13.7,13.96,5971,8336689999.999999,63,4202,0.7037000000000001
JINDALPHOT,EQ,13.7,14.8,14.8,13.0,14.0,14.05,13.94,2588,3607690000.0,43,1696,0.6553
JINDALPHOT,EQ,14.05,14.05,14.5,12.65,13.45,13.4,13.05,33698,43960465000.0,95,21305,0.6322
JINDALPHOT,EQ,13.4,13.0,14.2,13.0,13.9,13.9,13.74,3697,5078915000.0,51,2727,0.7376
JINDALPHOT,EQ,13.9,14.9,14.9,13.3,13.7,13.7,13.52,4234,5723340000.0,47,3866,0.9131
JINDALPHOT,EQ,13.7,12.85,14.0,12.45,13.65,13.65,13.64,5452,7436914999.999999,57,4618,0.8470000000000001
JINDALPHOT,EQ,13.65,13.05,14.2,13.05,13.65,13.65,13.67,7261,9924500000.0,67,3661,0.5042
