Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-03-12,ADANIENT,EQ,139.05,140.5,150.75,140.05,147.7,148.4,146.61,12543653,183907418375000.0,66627,1654076,0.1319
2019-03-13,ADANIENT,EQ,148.4,148.4,150.4,145.4,147.4,147.35,147.57,5700158,84115893070000.0,31730,596200,0.10460000000000001
2019-03-14,ADANIENT,EQ,147.35,147.4,149.2,143.6,144.65,145.55,145.77,4052596,59075882929999.99,21383,568347,0.1402
2019-03-15,ADANIENT,EQ,145.55,145.8,148.9,140.25,141.3,141.85,144.34,5981701,86342233055000.0,30571,699830,0.11699999999999999
2019-03-18,ADANIENT,EQ,141.85,142.4,145.0,140.35,143.8,143.9,142.61,4934286,70367466610000.0,24964,500726,0.1015
2019-03-19,ADANIENT,EQ,143.9,144.45,144.85,140.5,140.9,142.0,142.52,4320808,61580265100000.0,24731,576685,0.1335
2019-03-20,ADANIENT,EQ,142.0,142.0,142.7,138.05,138.9,139.45,140.39,3242462,45521880520000.0,17519,527179,0.16260000000000002
2019-03-22,ADANIENT,EQ,139.45,140.7,141.45,137.05,137.4,138.25,139.06,3147147,43764589180000.0,19336,438835,0.1394
2019-03-25,ADANIENT,EQ,138.25,137.0,137.6,133.5,133.8,134.35,135.39,2977535,40313620655000.0,16212,833496,0.2799
2019-03-26,ADANIENT,EQ,134.35,134.9,140.0,133.4,138.0,138.3,137.92,4180951,57662452954999.99,22228,559584,0.1338
2019-03-27,ADANIENT,EQ,138.3,138.55,140.95,136.25,138.0,137.5,138.52,2778662,38490434960000.0,17700,447305,0.161
2019-03-28,ADANIENT,EQ,137.5,138.45,143.15,136.3,137.9,137.8,139.87,3966292,55477331860000.0,21095,752155,0.18960000000000002
2019-03-29,ADANIENT,EQ,137.8,139.6,150.2,139.3,146.6,146.75,146.59,13910654,203921957935000.0,72873,1735267,0.1247
2019-04-01,ADANIENT,EQ,146.75,147.45,153.2,145.1,150.25,151.45,149.4,7938713,118607075265000.02,46237,1240358,0.1562
2019-04-02,ADANIENT,EQ,151.45,151.7,153.3,148.35,150.75,151.65,151.27,6228254,94214159315000.0,37723,870424,0.1398
2019-04-03,ADANIENT,EQ,151.65,150.3,152.65,146.6,147.05,147.55,149.96,3416023,51227608690000.0,20604,716179,0.2097
2019-04-04,ADANIENT,EQ,147.55,147.95,150.3,145.45,147.4,147.5,147.95,3963980,58646622220000.01,26648,527366,0.133
2019-04-05,ADANIENT,EQ,147.5,148.0,149.2,146.2,146.85,146.9,147.41,2004719,29550616500000.0,13247,349525,0.17440000000000003
2019-04-08,ADANIENT,EQ,146.9,147.5,148.65,141.1,141.5,141.95,144.0,4399839,63357231995000.01,24011,900063,0.2046
2019-04-09,ADANIENT,EQ,141.95,142.3,147.0,137.45,145.3,146.0,142.8,8432342,120416936600000.0,51465,1671203,0.19820000000000002
2019-04-10,ADANIENT,EQ,146.0,145.75,147.4,142.05,142.45,142.85,144.02,4356153,62738204025000.0,29551,1231911,0.2828
2019-04-11,ADANIENT,EQ,142.85,142.75,143.15,138.6,139.95,141.0,140.95,3535449,49831759070000.0,24126,958026,0.271
2019-04-12,ADANIENT,EQ,141.0,140.8,144.45,139.2,140.8,141.4,141.56,5769634,81673999725000.0,30386,1122619,0.19460000000000002
2019-04-15,ADANIENT,EQ,141.4,141.0,145.15,140.55,142.5,142.95,142.82,4375074,62482738379999.99,24852,904371,0.20670000000000002
2019-04-16,ADANIENT,EQ,142.95,142.2,145.35,142.2,142.6,143.05,143.76,3648947,52456236905000.0,21447,990183,0.27140000000000003
2019-04-18,ADANIENT,EQ,143.05,143.1,144.45,137.65,137.9,138.6,139.71,3954004,55240002850000.0,26105,786932,0.19899999999999998
2019-04-22,ADANIENT,EQ,138.6,138.0,138.65,134.35,134.6,135.15,136.59,3189574,43565007340000.0,21548,437883,0.1373
2019-04-23,ADANIENT,EQ,135.15,135.4,136.3,131.55,132.7,132.5,133.88,4084835,54687015815000.0,19093,802670,0.19649999999999998
2019-04-24,ADANIENT,EQ,132.5,132.75,137.1,132.1,135.75,136.15,134.67,4329268,58301550675000.0,18780,575966,0.133
2019-04-25,ADANIENT,EQ,136.15,135.1,137.0,133.85,134.75,134.75,135.39,2112063,28595696845000.0,12112,286120,0.1355
2019-04-26,ADANIENT,EQ,134.75,135.0,135.65,130.25,131.0,131.4,132.06,4350584,57453723545000.01,45517,1033605,0.23760000000000003
2019-04-30,ADANIENT,EQ,131.4,131.8,131.8,125.0,126.7,127.05,127.2,4006829,50965205370000.0,21582,717763,0.1791
2019-05-02,ADANIENT,EQ,127.05,126.0,130.0,124.8,126.35,126.65,127.15,3754433,47736764465000.0,17721,599560,0.1597
2019-05-03,ADANIENT,EQ,126.65,124.0,129.0,123.0,127.7,128.3,126.72,6222801,78853946185000.0,33375,960387,0.1543
2019-05-06,ADANIENT,EQ,128.3,125.75,127.4,125.05,125.15,125.6,126.14,1996014,25177730395000.0,10237,486219,0.2436
2019-05-07,ADANIENT,EQ,125.6,126.4,127.0,120.05,121.85,122.35,124.37,4593214,57125919804999.99,27660,1281976,0.2791
2019-05-08,ADANIENT,EQ,122.35,121.8,123.65,120.4,121.1,120.9,121.89,2661345,32438861030000.0,15803,547750,0.20579999999999998
2019-05-09,ADANIENT,EQ,120.9,121.9,122.2,119.15,120.6,120.1,120.39,2907774,35005963060000.004,13797,581403,0.1999
2019-05-10,ADANIENT,EQ,120.1,121.0,122.3,119.25,119.95,120.0,120.73,2835247,34231314135000.004,13435,344081,0.12140000000000001
2019-05-13,ADANIENT,EQ,120.0,120.7,120.9,116.65,117.3,117.6,118.87,2124122,25248871045000.0,10899,457471,0.2154
2019-05-14,ADANIENT,EQ,117.6,116.35,124.55,115.0,123.75,123.35,120.49,4548264,54801407015000.0,30320,627161,0.1379
2019-05-15,ADANIENT,EQ,123.35,124.2,124.95,116.1,117.0,117.4,119.3,3659017,43651615285000.0,26828,742624,0.203
2019-05-16,ADANIENT,EQ,117.4,118.1,119.5,113.0,118.45,118.8,117.12,5368281,62871358529999.99,32052,543632,0.10130000000000002
2019-05-17,ADANIENT,EQ,118.8,117.75,120.55,116.1,118.7,119.3,118.53,4631007,54890753560000.0,31960,461293,0.09960000000000001
2019-05-20,ADANIENT,EQ,119.3,131.2,154.9,128.1,153.85,151.95,142.46,37670288,536662215730000.0,193641,4676044,0.1241
2019-05-21,ADANIENT,EQ,151.95,154.7,158.95,148.45,155.0,154.65,153.75,39732349,610894786675000.0,207105,1882418,0.047400000000000005
2019-05-22,ADANIENT,EQ,154.65,155.05,158.8,152.8,158.15,157.95,156.34,13565092,212074053190000.0,81562,1554145,0.11460000000000001
2019-05-23,ADANIENT,EQ,157.95,169.5,180.8,157.7,160.85,161.05,169.74,61334483,1041063521679999.9,330692,4622716,0.07540000000000001
2019-05-24,ADANIENT,EQ,161.05,162.35,163.75,151.85,159.15,156.4,155.82,19435041,302827954770000.0,107575,1333535,0.06860000000000001
2019-05-27,ADANIENT,EQ,156.4,159.1,160.7,155.15,157.0,157.2,157.71,9664810,152419407035000.0,50796,770394,0.0797
